,Key Word,Username,User_ID,Datetime,Favorite_count,Geo,Coordinates,Label,Text
626,Cuntass,cuntass_chica,1.33e+18,11-11-2020 04:23,0,,,0,"I prefer a man that offers, I don’t ever wanna ask. 🤷🏾‍♀️"
30,ass,Tashari23,1.33e+18,11-11-2020 06:56,0,,,0,Lately I’ve been very cautious of who has access to me. Everybody don’t deserve my lit ass energy.
2499,Bad Fuck,rockIeeeyebrows,1.33e+18,11-11-2020 06:52,0,,,1,y’all ever hope the person delivering ya food a bad bitch das tryna fuck for a tip like the pornos?
1807,big butt,polisheddimes,1.33e+18,10-11-2020 16:57,1,,,1,he was sitting down on that big butt but I was still staring at the titties doe 🤑
2144,Aroused,SurprisedFace,1.33e+18,10-11-2020 22:12,1,,,1,"Please do not be mean to He once asked his wife if women get wet when they're aroused and she, a doctor, said no."
1061,Bad Fuck,Limitless_xix,1.33e+18,11-11-2020 06:56,0,,,0,I'm back and that chief Simp Jaduong did get an L haha. He can fuck off !!! Buying flowers and parading a wet crack mercha…
2469,ass cowboy,SuccMcJones,1.33e+18,11-11-2020 01:57,0,,,1,Only cowboy has an ass powerful enough to ride that stud Bento 🍑👀💦
159,Balls,lisanoel1968,1.33e+18,11-11-2020 07:25,0,,,0,no balls same old shit
2196,Aroused,witchy_dragons,1.33e+18,10-11-2020 20:34,0,,,1,"I’m convinced men that find WAP to be disgusting, are just barely finding out that pussies are SUPPOSED to get wet whe…"
1990,cunilingus,PaulRey84067021,1.32e+18,06-11-2020 15:52,0,,,1,With lots of cunilingus
2442,Aroused,Kareemcy_ayomi,1.33e+18,10-11-2020 12:27,0,,,1,"Indecent dressing shouldn't be an excuse for you to be aroused. If you get aroused by what a woman wears, you need medical attention"
1825,bitch ass,_khayess,1.33e+18,11-11-2020 06:43,0,,,1,bitch i might eat the ass if its weed in it.
640,Cuntass,cuntass_chica,1.33e+18,10-11-2020 19:26,0,,,0,Oil change then car wash today
1986,butt,whoisshamiya,1.33e+18,11-11-2020 07:48,0,,,1,can i maybe put my thumb in yo butt?
2222,Aroused,PeriSuzannah,1.33e+18,10-11-2020 19:43,0,,,1,I might look and act like a cute schoolgirl today. But you understand that this is merely a disguise to lull you into a se…
2148,Aroused,Maria_Sauren,1.33e+18,10-11-2020 22:08,3,,,1,I'm sure you get aroused just thinking of it - still not gonna happen though
967,ass,sirenaboricua11,1.33e+18,11-11-2020 06:56,1,,,0,I would be cold and have that print all over my ass and back legs 🤣🤣🤣
1028,Bad Fuck,woewav,1.33e+18,11-11-2020 07:09,0,,,0,down bad but fuck it we ball
2006,cunnilingus,413X4H,1.33e+18,11-11-2020 04:29,2,,,1,SHE BEEFED WITH DELTA AIRLINES! SHE CALLED AER LINGUS AIR CUNNILINGUS! SHE HAD BEEF WITH SWEDEN!!!!
751,Aroused,BlkHilfiger,1.33e+18,11-11-2020 00:00,1,,,0,We should’ve took shots every time jit said aroused tho 😭
1974,butt,reddicky01,1.33e+18,11-11-2020 08:11,0,,,1,I need my butt licked
1075,Bad Fuck,sapphicsade,1.33e+18,11-11-2020 06:51,1,,,0,fUCK BEING GOOD IM A BAD BITCH IM SICK OF MFS TRYNA TELL ME HOW TO LIVE WACK HOES HATE UNDER MY PICTURES ON THE GRAM BITCH YOU BETTER HOPE I NEVER RUN ACROSS YOUR MAN
37,ass,LionizedHero,1.33e+18,11-11-2020 06:56,0,,,0,"‍ ‍ ‍ ‍ ‍ ‍ ‍ ‍Go get it then, if she so desires. ‍ ‍ ‍ ‍Lazy ass . . . ‍ ‍ ‍ ‍"
958,ass,kimiashere,1.33e+18,11-11-2020 06:56,0,,,0,the fact that they have a whole ass concentration but never offer a single class on it 🤡
1218,bitch,532ffa2196fb45b,1.33e+18,11-11-2020 07:27,0,,,0,old #Patterdale bitch CHARLIE #missing #Kirkburton/#Highburton #Huddersfield #HD8 8.30pm 7/11 chipped/wearing blk half cho…
1163,bastard,ScousePete1986,1.33e+18,11-11-2020 07:26,0,,,0,Dirty bastard
1643,Bad Fuck,kinkydlbiguy,1.33e+18,11-11-2020 05:25,0,,,1,I wanna fuck this freak so bad
1207,bitch,sarah_ann1122,1.33e+18,11-11-2020 07:27,0,,,0,I love smiling at girls who hate me LMAOOO bothered ass bitch
530,butt,o_eurydice,1.33e+18,11-11-2020 08:21,0,,,0,"TOTALLY!! Cleaning my butt with just tissue seems, not really unhygienic, but i guess not clean enough? Lol"
2554,boobies,NekoHappix,1.33e+18,11-11-2020 07:22,0,,,1,who the hell using pornhub on their 3DS what bro you want the boobies to pop out at you?
1891,boobies,bvbyleg,1.33e+18,11-11-2020 07:31,0,,,1,want boobies in my mouth RIGHT NEOWWW
73,assbandit,_AssBandit_,1.32e+18,04-11-2020 21:32,1,,,0,"if i find the pdf I def will look into it uwu, tanku!!"
1441,Anal,Toybot5,1.33e+18,11-11-2020 06:42,1,,,1,Without a doubt I'd choose anal.
2243,Aroused,Zeni014,1.33e+18,10-11-2020 19:03,0,,,1,"A woman’s vagina expands when she’s aroused and her clitoris becomes larger when she is aroused... it’s normal, and if it h…"
504,brothel,s_langers,1.33e+18,11-11-2020 04:52,0,,,0,Bye bye brothel business
184,Balls,byghostpop,1.33e+18,11-11-2020 07:20,0,,,0,BILLIARD BALLS IN A BLENDEF
91,assbandit,PsyqedelicHobo,1.32e+18,02-11-2020 20:22,1,,,0,khalas I hope that day is bootiful I'll pray for you 2
1506,ass,Bennzzzooo5,1.33e+18,11-11-2020 06:56,0,,,1,I already showed my ass now I let my nuts hang
2475,ass,FreeNatn,1.33e+18,11-11-2020 06:56,0,,,1,good night to them single pretty ass women
517,butt,Zion_________,1.33e+18,11-11-2020 08:25,0,,,0,"if u raw butt any toilet seat outside yo house u dirty as shit, idccccc😂😂"
736,Dickbag,MMBerger12,1.32e+18,06-11-2020 21:15,0,,,0,"Do happy lib tears soothe Republicans as much as sad lib tears? Asking all the dickbag republicans who got off on our pain and horror in 2016. Dickbag,Arti_St_Studio,1.32482E+18,06-11-2020 21:01,0,,,Fancy Nancy's quiver....what kind of a dickbag says that about having arrows in their quiver? Can't stand her. Dickbag,MercyOnMe28,1.32479E+18,06-11-2020 18:45,10,,,Decades later"
44,ass,WhoDat_Tiana,1.33e+18,11-11-2020 06:56,0,,,0,Dumb ass cramps 🥺
764,Aroused,_jillers_,1.33e+18,10-11-2020 21:25,0,,,0,Yeah my darker spirits are gonna be aroused af when FG are booted out of Gov't
2420,Aroused,FM_Grasshopper,1.33e+18,10-11-2020 13:22,2,,,1,"I’m not usually aroused by FM tweets, but that’s ridiculous"
196,Balls,John12659723,1.33e+18,11-11-2020 07:17,0,,,0,Are you going to Apologize Morgan or what you havnt got the BALLS have you proves my point don't you think all Mouth no B-LOXdont preach what you can't do yourself
1793,big butt,H0N3YK00,1.33e+18,11-11-2020 01:30,0,,,1,i think my butt is too big😌
1707,Balls,killercaptor,1.33e+18,11-11-2020 07:10,17,,,1,"Horny as fuck and all I can think about is forcing you to drain my balls. Putting a gun to your head and counting down, telling you to guess what happens if I get to 0 and you still haven’t made me cum."
408,boobies,SakuramochiBun,1.33e+18,11-11-2020 06:04,3,,,0,who needs boobies anyway no boobies - no worries
487,Breast Man,KTB_006,1.33e+18,10-11-2020 21:45,0,,,0,Ah you people meet shoody with 3 breast before??? Chale man really taya today 🥺🥺😭😭😂😂😂😂
1178,bastard,KeithAug131973,1.33e+18,11-11-2020 07:24,0,,,0,The bastard stole an election from Stacy Abrams. I bet he regrets that.
2215,Aroused,ceesknottytreat,1.33e+18,10-11-2020 19:57,92,,,1,"I’m convinced men that find WAP to be disgusting, are just barely finding out that pussies are SUPPOSED to get wet when we get aroused. And that makes me sad for the women they more than likely had shitty sex with."
1844,bite me,Furry_eGirl,1.33e+18,11-11-2020 08:09,0,,,1,sex is optional just bite me bite me HARD MAKE ME BLEED
1730,Balls,S4T0Rl,1.33e+18,11-11-2020 06:56,0,,,1,BALLS SQUEEZE HIS BALLS TILL THEY BPOP
2462,ass cowboy,DimtheLight2,1.33e+18,11-11-2020 05:30,0,,,1,Only cowboy has an ass powerful enough to ride that stud Bento 🍑👀💦
1111,Balls,ady_kent,1.33e+18,11-11-2020 07:26,0,,,0,I salute your bravery to keep telling the Dems on the truths that some of them are trying to avoid/ignore. You have the 'balls' compared to those who physically 'just have' it 🙃
257,bitch,icesuppasit,1.33e+18,11-11-2020 07:27,0,,,0,bitch we have 9 sugar daddies 💅🏻
1339,bitch ass,CallieWolynice,1.33e+18,11-11-2020 07:44,0,,,0,"this is my way of calling out for help, because u ruined me. you fucking cunt ass nasty whore bitch. fuck you. you better see this. imma start tagging you"
145,Ball licker,Kimberl29597012,1.33e+18,10-11-2020 11:58,0,,,0,He’s such a ball licker
2232,Aroused,Mark_Global,1.33e+18,10-11-2020 19:24,0,,,1,"My first and only owner,described me as an""emotional pain pig""the more emotionally sadistic she was,the weaker more fi…"
1131,Balls,RoyalSachinist,1.33e+18,11-11-2020 07:23,0,,,0,Mumbai Indians in IPL - Most Trophies (5) - Most Wins (120) - Most times table Toppers (4) - Most matches played (…
2273,Aroused,KhaiElJones,1.33e+18,10-11-2020 18:20,7,,,1,Yeah my darker spirits are gonna be aroused af when FG are booted out of Gov't
1596,asslicker,keniakiki,1.33e+18,10-11-2020 09:16,1,,,1,Biggest asslicker going.
1767,big butt,sheabuttersidy,1.33e+18,11-11-2020 06:37,0,,,1,"""Big titties, big butt too"" 🦄"
345,bitchtits,trump_realreal,1.32e+18,03-11-2020 03:07,0,,,0,"That’s MOUTHBREATHING bitchtits to you, boy."
2079,Dick for brains,loudmouthlyric,1.32e+18,04-11-2020 17:03,0,,,1,Girl gave up her legs for some dick she got beans for brains
927,ass,JahTheGod_,1.33e+18,11-11-2020 06:56,0,,,0,Rigby literally forged a rejection letter from Mordecai's dream school and let that man believe for YEARS he was not good enou…
1862,bite me,YssaCornChan,1.33e+18,11-11-2020 07:15,0,,,1,I doubt he’d eat me bc he’s a pussy. He won’t even bite or scratch me
1617,Bad Fuck,travonfrancis_2,1.33e+18,11-11-2020 06:45,1,,,1,"Bad gal big bumpa, pretty cute face affi fuck dat, ride it ride it"
939,ass,chhloe1k,1.33e+18,11-11-2020 06:56,0,,,0,The Snapchat map be snitching on you lying ass mfkas
1134,Balls,itsallenglines,1.33e+18,11-11-2020 07:23,0,,,0,Who? Oh the washed up actor who now devoted himself to edgy delusions of intellect and gargling Trump’s balls? I remember him!
1760,bitch,DarkskinNvy,1.33e+18,11-11-2020 07:22,0,,,1,Tell your bitch you like me 😏 fuck she gon do?
377,Blowjob,becomedecease,1.33e+18,11-11-2020 08:03,1,,,0,ELITE BLOWJOB???? what in the helll lmfaoooo
2394,Aroused,LBachwoman,1.33e+18,10-11-2020 14:16,0,,,1,"I often wonder if women were aroused by men having big balls would they get testicle implants? Lol how big would they go? Tennis ball? Softball? Ya, try running with those dangling.. like women suffer with heavy boobs. Lmao. Testicle implants"
182,Balls,wAkk2020,1.33e+18,11-11-2020 07:20,0,,,0,Tucker Carlson has some real BALLS for calling out his own network!!! Nothing but respect for this man! A TRUE journali…
1982,butt,iambendiiie,1.33e+18,11-11-2020 07:55,0,,,1,I really be sleeping butt ass naked 😂
577,cunt,pugosupo,1.33e+18,11-11-2020 09:27,0,,,0,it's wild how friendly jordies is continually forgiven and platformed and supported and given opportunity after opportunity to produce good political commentary and he just can't help constantly being a massive cunt and fucking everything up for himself.
692,Dick for brains,awlpaws,1.33e+18,09-11-2020 09:42,0,,,0,"He said, "" childish wishlist"" in his first response.... couldn't watch after that . What a total dick for brains ."
825,Aroused,___didara,1.33e+18,10-11-2020 15:49,0,,,0,○sexually aroused ○happy ●what is the sole purpose of my existence? what is my life?
2310,Aroused,Midas24280280,1.33e+18,10-11-2020 17:26,0,,,1,""" oh your aroused huh?~ """
203,Balls,jeongphantom,1.33e+18,11-11-2020 07:15,2,,,0,i regret having eye balls
1675,Balls,lomlbraddison,1.33e+18,11-11-2020 07:20,0,,,1,smelly balls
1354,boobies,melxsecret,1.33e+18,11-11-2020 07:01,0,,,0,if you . ♡ ° ♡ think °. ♡ . + that . ✵ ♡ ✷ ♡ ✧ all boo…
488,Breast Man,_RareBlessing,1.33e+18,10-11-2020 21:34,7,,,0,"I’m admiring a dress and a man from 450miles away say I should make sure I have breast for the dress,Nothing I no go see!😂😂😂"
964,ass,hoelyoffgun,1.33e+18,11-11-2020 06:56,1,,,0,"my emotional babii ass is weeping ,,, too much feels with this edit. ily lala"
1406,cunt,OrpingtonPaven,1.33e+18,11-11-2020 09:08,0,,,0,"5 months ago I'd have been in a hole digging now, now I'm in front of a computer typing with radio x and coffee, and yes I feel as much of a cunt as I sound"
1656,Balls,tate_____,1.33e+18,11-11-2020 07:26,0,,,1,For $50 you can ligma balls mfer I am in gold
56,ass,RobertSoliz15,1.33e+18,11-11-2020 06:55,0,,,0,Cheating ass Biden
1225,bitch,rillest_adrn,1.33e+18,11-11-2020 07:26,0,,,0,You lost your brain bitch?
1739,bitch,bstdpower,1.33e+18,11-11-2020 07:27,0,,,1,▶️david guetta feat. akon- sexy bitch
723,Dick Licker,_NiiKKii_D,1.33e+18,11-11-2020 04:49,0,,,0,hey dick licker move the fuck out the way and let Biden take control over covid because your stupid ass never did shit anyway.. waste of air! Bye 👋
18,Aroused,KXNGB33ZY,1.33e+18,11-11-2020 04:06,0,,,0,If your energy and presence alone doesn’t get them aroused they’re not the one for you..
2055,cunthole,iheartsha_,1.33e+18,08-11-2020 01:48,0,,,1,Suck muh cunthole
1633,Bad Fuck,_Learn_Life,1.33e+18,11-11-2020 05:55,0,,,1,Fuck his bitch he in a bad mood 😬🎯
1967,butt,RoxyWicked,1.33e+18,11-11-2020 08:19,0,,,1,Come and watch me play with my butt plug! 🍑💎😘
2293,Aroused,CassellCaptain,1.33e+18,10-11-2020 17:49,0,,,1,I’m equal parts emotional and extremely aroused.
1813,big butt,AndGeoWill,1.33e+18,10-11-2020 13:36,0,,,1,“🎶 Pitcher’s got a big butt! 🎶”
2500,Bad Fuck,Simmy_M_,1.33e+18,11-11-2020 06:52,0,,,1,“Bad bitch fuck him til he cry like a wimp”😭🔥
549,cunt,v_natalija,1.33e+18,11-11-2020 09:44,0,,,0,Piers Morgan wants people who refuse to take the COVID vaccine to be banned from travelling. Authoritarian cunt.
804,Aroused,D_Bone,1.33e+18,10-11-2020 17:44,0,,,0,hyper aroused sympathetic nervous system. are you peeing a lot in the early morning? sleeping disrupted? do you improve as the day goes on with fluids &amp; salt?
2142,Aroused,klillington,1.33e+18,10-11-2020 22:13,0,,,1,"One eleventh-century Irish tract states that in heaven people will be naked but not sexually aroused by each other, which…"
1866,bite me,0nlinegrlfriend,1.33e+18,11-11-2020 07:02,0,,,1,I wish I had someone here to leave bite marks all over me rn
1166,bastard,Maboes,1.33e+18,11-11-2020 07:25,0,,,0,"why don’t you just fuck off somewhere, you stupid fucking red haired twat. Most vile, despised, hated, laughed at loser prick, in the WORLD. FUCK OFF ALREADY.AND TAKE YOUR STUPID FUCK SPAWN BASTARD CHILDREN WITH YOU...AND TOUR UGLY PORN STAR WIFE"
760,Aroused,morrelife,1.33e+18,10-11-2020 22:12,0,,,0,"The blood pressure rises when an individual is aroused. When he’s close to orgasming, body muscles are gripped and the se…"
1987,cunilingus,MickyJob,1.33e+18,10-11-2020 12:08,1,,,1,Seriously? What can Melanomia teach Jill? BJ? Cunilingus? The legionnaire position? The threesome?
1116,Balls,ggukstethic,1.33e+18,11-11-2020 07:25,1,,,0,"NO JSBDKSBDJDHSJ i thought it's because the skeleton is shy so it got no balls and also, it's only a skeleton so literally it got no balls 😔"
1790,big butt,LeeBruh_Greene,1.33e+18,11-11-2020 01:43,0,,,1,"Brothas like a big butt but they don’t like it too big, ain’t dat right?!"
1887,boobies,Andy68511741,1.33e+18,11-11-2020 07:49,0,,,1,The Bubbles are nice but the boobies are 👌
2181,Aroused,lashanej1,1.33e+18,10-11-2020 21:07,0,,,1,If my energy alone doesn’t get you aroused then I ain’t the one for you.
47,ass,jefferylamar_,1.33e+18,11-11-2020 06:55,0,,,0,I hate deadbeat ass parents bro
97,assbandit,_AssBandit_,1.32e+18,02-11-2020 20:08,1,,,0,I really can't wait to have a beautiful beachside picnic at sunset
1564,AssMan,AssMan_1979,1.33e+18,10-11-2020 20:10,0,,,1,I want to touch your butt.♥️😍
1125,Balls,thilak_tweets,1.33e+18,11-11-2020 07:24,0,,,0,Mumbai Indians in IPL - Most Trophies (5) - Most Wins (120) - Most times table Toppers (4) - Most matches played (…
1096,Bad Fuck,ST4RV1NGH0ST,1.33e+18,11-11-2020 06:46,0,,,0,yeah anon ooooh you porbably simp for gem so bad you fucking fuck
467,Breast Job,vintage_stars79,1.33e+18,09-11-2020 13:29,6,,,0,"Hi bill, I’m trying to save up money to get a breast reduction because of medical reasons. I’m always in pain and my chiropractor even says that I need a reduction but my insurance won’t cover it. The job I have now is worsening my back pain and it’ll take -"
5,Aroused,BertieMemes,1.33e+18,11-11-2020 06:15,11,,,0,"The art style makes it difficult to decipher, but Thomas has vored Shrek and is keeping him inside his warm wet belly. Both seem to be sexually aroused by this scenario, as does Barry B. Benson who is recording the act no doubt for future usage or perhaps monetary purposes."
400,boobies,seahqrse,1.33e+18,11-11-2020 06:24,3,,,0,how is nami carrying a whole wooden pole between her boobies I wish I could do that
1915,boobies,WillNeverDies,1.33e+18,11-11-2020 05:23,3,,,1,SHOW ME YA BOOBIES
371,bite me,Swim_here_now,1.33e+18,11-11-2020 06:48,0,,,0,Unpopular opinion: 'employability' can bite me
1865,bite me,jzzulia,1.33e+18,11-11-2020 07:11,0,,,1,bite bite bite me 👻
1470,Aroused,ThomLeChat,1.33e+18,11-11-2020 01:12,0,,,1,Well I’m aroused x
1185,bastard,faceoffszn,1.33e+18,11-11-2020 07:24,0,,,0,does godwin emefiele have a twitter account? let me show him what terrorism looks like. bastard ashiere.
1299,big butt,HBiggus,1.33e+18,11-11-2020 07:30,0,,,0,Omg I'm actually thinking trump is going to do this ... Shit it's looking better and better ❤️❤️ come on big boy get that pe…
1952,Breast Man,Teresamckenzy1,1.33e+18,10-11-2020 20:52,0,,,1,"When you see a sad man, just give him breast to suck. Even if he's a stranger. Let him suck breast and be happy."
1095,Bad Fuck,theresamax,1.33e+18,11-11-2020 06:46,0,,,0,Holy fucking balls on FIRE - because the pentagon officials pushed out are the same ones who raised the alarm on recent Middle…
1724,Balls,NameofAccount3,1.33e+18,11-11-2020 06:58,0,,,1,Good game but the story sucks big floppy balls
470,Breast Man,Justice__Chisom,1.33e+18,11-11-2020 07:30,0,,,0,"No matter how dark the room is, a man will always find his way to the woman’s breast"
1197,bastard,symplyoge,1.33e+18,11-11-2020 07:23,0,,,0,"Don’t go around breaking people’s heart ,don’t be a bastard"
537,cunilingus,aroundtownbrown,1.32e+18,05-11-2020 21:25,1,,,0,"Now lil jeezy, far be from me to correct anyone, however simply grow up would work just as much. It is acceptable to say jfc tho. That's exactly what it says in genesis on cunilingus 71:69"
1084,Bad Fuck,IEOKIITI1,1.33e+18,11-11-2020 06:48,1,,,0,"i give kitte kattuz as omiyagi like i'm a priest at communion, but rarely eat them myself. i find the chocolate abhorrent &amp; the flavours utter piddle sake kk is bonkers bad. there was a kk you put in the oven and fuck about with. me ma liked it, i thought it was gruesomely awful."
649,Cuntass,cuntass_chica,1.33e+18,09-11-2020 21:32,0,,,0,Ppl are haters they will find anything to say about a mf
2017,cunt,emmaMcDermott9,1.33e+18,11-11-2020 09:39,0,,,1,"That dopey lying cunt will probably swear he never uttered a word that day, because a big boy did it and ran away and t…"
2432,Aroused,m0useparty,1.33e+18,10-11-2020 12:48,0,,,1,"One eleventh-century Irish tract states that in heaven people will be naked but not sexually aroused by each other, which…"
2118,Aroused,ketolife69420,1.33e+18,10-11-2020 23:05,1,,,1,Good luck 🍀 they’re usually really nicer than you fear and you won’t gag. The worst parts trying not to get aroused by the bdsm vibe of being submissive in the chair
1510,ass,Craigbot_en,1.33e+18,11-11-2020 06:56,0,,,1,Use the power of your ass to overwhelm his sensitive smell!
